timestamp,cpu_usage_percent,gpu_usage_percent,memory_percent,disk_read,disk_write,past_cpu,past_gpu,past_memory,future_cpu,future_gpu,future_memory
1763424872.5649579,2.8,0,73.5,13660063,1647883,3.5,1.0,73.5,5.4,0,73.4
1763424877.619554,5.4,0,73.4,13660063,1647946,2.8,0.0,73.5,4.5,0,73.5
1763424882.6686487,4.5,0,73.5,13660072,1647978,5.4,0.0,73.4,3.4,0,73.5
1763424887.723245,3.4,0,73.5,13660074,1648017,4.5,0.0,73.5,3.9,0,73.5
1763424892.771339,3.9,0,73.5,13660074,1648050,3.4,0.0,73.5,4.0,0,73.5
1763424897.8169272,4.0,0,73.5,13660077,1648117,3.9,0.0,73.5,2.8,0,73.5
1763424902.8570142,2.8,0,73.5,13660087,1648155,4.0,0.0,73.5,3.7,1,73.5
1763424907.9006,3.7,1,73.5,13660088,1648179,2.8,0.0,73.5,7.0,2,73.7
1763424912.940688,7.0,2,73.7,13660106,1648298,3.7,1.0,73.5,8.0,1,73.7
1763424917.9852748,8.0,1,73.7,13660107,1648348,7.0,2.0,73.7,8.1,0,74.0
1763424923.0343704,8.1,0,74.0,13660108,1648370,8.0,1.0,73.7,12.4,0,74.2
1763424928.0759542,12.4,0,74.2,13660108,1648416,8.1,0.0,74.0,7.0,1,73.3
1763424933.1280534,7.0,1,73.3,13660117,1648482,12.4,0.0,74.2,4.0,0,73.2
1763424938.1716392,4.0,0,73.2,13660117,1648538,7.0,1.0,73.3,3.7,0,73.2
1763424943.2177322,3.7,0,73.2,13660125,1648578,4.0,0.0,73.2,4.0,0,73.2
1763424948.2693253,4.0,0,73.2,13660125,1648613,3.7,0.0,73.2,3.5,0,73.2
1763424953.312911,3.5,0,73.2,13660126,1648636,4.0,0.0,73.2,3.3,0,73.2
1763424958.3630075,3.3,0,73.2,13660126,1648671,3.5,0.0,73.2,6.9,1,73.2
1763424963.4206064,6.9,1,73.2,13660135,1648761,3.3,0.0,73.2,8.7,2,74.3
1763424968.4717038,8.7,2,74.3,13660294,1648919,6.9,1.0,73.2,6.8,0,73.9
1763424973.5162902,6.8,0,73.9,13660319,1649029,8.7,2.0,74.3,3.4,0,74.0
1763424978.562382,3.4,0,74.0,13660319,1649142,6.8,0.0,73.9,5.5,1,73.9
1763424983.6169782,5.5,1,73.9,13660319,1649179,3.4,0.0,74.0,8.8,3,73.8
1763424988.662069,8.8,3,73.8,13660319,1649241,5.5,1.0,73.9,5.6,0,73.8
1763424993.7146633,5.6,0,73.8,13660319,1649283,8.8,3.0,73.8,5.2,1,73.1
1763424998.7597558,5.2,1,73.1,13660320,1649421,5.6,0.0,73.8,5.1,1,73.1
1763425003.8033414,5.1,1,73.1,13660329,1649459,5.2,1.0,73.1,5.7,0,73.1
1763425008.8524363,5.7,0,73.1,13660329,1649511,5.1,1.0,73.1,5.5,1,73.1
1763425013.89402,5.5,1,73.1,13660329,1649537,5.7,0.0,73.1,11.9,2,74.3
1763425018.9351082,11.9,2,74.3,13660343,1649650,5.5,1.0,73.1,4.3,0,74.4
1763425023.9877024,4.3,0,74.4,13660772,1649753,11.9,2.0,74.3,12.4,2,75.7
1763425029.0357969,12.4,2,75.7,13661408,1650245,4.3,0.0,74.4,9.7,1,75.7
1763425034.0773816,9.7,1,75.7,13661415,1650322,12.4,2.0,75.7,7.6,1,75.3
1763425039.1204848,7.6,1,75.3,13661510,1650418,9.7,1.0,75.7,3.8,0,75.8
1763425044.1730793,3.8,0,75.8,13661521,1650611,7.6,1.0,75.3,4.3,0,75.7
1763425049.213166,4.3,0,75.7,13661529,1650727,3.8,0.0,75.8,4.2,0,75.6
1763425054.2627575,4.2,0,75.6,13661537,1650862,4.3,0.0,75.7,7.9,2,75.8
1763425059.3088503,7.9,2,75.8,13661699,1650957,4.2,0.0,75.6,11.0,1,75.9
1763425064.349433,11.0,1,75.9,13661720,1651066,7.9,2.0,75.8,7.5,4,75.8
1763425069.3905232,7.5,4,75.8,13661728,1651153,11.0,1.0,75.9,8.3,1,75.7
1763425074.455128,8.3,1,75.7,13661736,1651201,7.5,4.0,75.8,10.0,0,76.2
1763425079.4952142,10.0,0,76.2,13661870,1651306,8.3,1.0,75.7,4.3,0,75.8
1763425084.5468078,4.3,0,75.8,13661878,1651428,10.0,0.0,76.2,4.1,0,75.7
1763425089.5918999,4.1,0,75.7,13661886,1651574,4.3,0.0,75.8,3.0,0,75.6
1763425094.6334844,3.0,0,75.6,13661901,1651641,4.1,0.0,75.7,3.5,0,75.8
1763425099.6875834,3.5,0,75.8,13661909,1651693,3.0,0.0,75.6,4.6,0,75.0
1763425104.7291677,4.6,0,75.0,13661909,1651730,3.5,0.0,75.8,6.9,0,75.0
1763425109.7797604,6.9,0,75.0,13661919,1651752,4.6,0.0,75.0,7.8,3,75.1
1763425114.829855,7.8,3,75.1,13661946,1651803,6.9,0.0,75.0,9.3,1,74.9
1763425119.8764439,9.3,1,74.9,13661954,1651837,7.8,3.0,75.1,6.0,1,74.9
1763425124.919535,6.0,1,74.9,13661960,1651892,9.3,1.0,74.9,5.0,0,75.0
1763425129.9681249,5.0,0,75.0,13661968,1651939,6.0,1.0,74.9,4.5,0,74.9
1763425135.0192232,4.5,0,74.9,13661976,1651973,5.0,0.0,75.0,3.7,0,74.9
1763425140.0628097,3.7,0,74.9,13661976,1652009,4.5,0.0,74.9,4.3,0,74.9
1763425145.1169107,4.3,0,74.9,13661978,1652047,3.7,0.0,74.9,11.5,5,74.6
1763425150.183517,11.5,5,74.6,13661980,1652198,4.3,0.0,74.9,11.5,4,74.1
1763425155.225605,11.5,4,74.1,13661980,1652242,11.5,5.0,74.6,10.7,2,74.1
1763425160.2671893,10.7,2,74.1,13661981,1652313,11.5,4.0,74.1,5.6,2,74.4
1763425165.3172865,5.6,2,74.4,13661981,1652408,10.7,2.0,74.1,5.2,1,74.1
